size,type,time,cpu,iterations
1024,1,448827,448816,2
1024,1,436739,436693,2
1024,1,445656,445639,2
1024,1,440838,440827,2
1024,1,437196,437153,2
1536,1,1038686,1038652,1
1536,1,1034732,1034607,1
1536,1,1016141,1016104,1
1536,1,1057410,1057317,1
1536,1,1047070,1047003,1
1536,1,999164,999071,1
1536,1,1012370,1012344,1
1536,1,987172,987081,1
1536,1,990152,990108,1
1536,1,992263,992171,1
1536,1,984694,984668,1
1536,1,986337,986311,1
1536,1,1001876,1001781,1
1536,1,973383,973358,1
1536,1,1031783,1031689,1
1536,1,1183196,1183148,1
1536,1,998090,998001,1
1536,1,996575,996550,1
1536,1,1001299,1001194,1
1536,1,1009922,1009862,1
2048,1,2018535,2018349,1
2048,1,1818178,1818019,1
2048,1,1810631,1810520,1
2048,1,1793315,1793262,1
2048,1,1843606,1843564,1
2048,1,1788797,1788679,1
2048,1,1790422,1790312,1
2048,1,1815960,1815833,1
2048,1,1784226,1784185,1
2048,1,2057016,2056960,1
2048,1,2258814,2258610,1
2048,1,1834388,1834273,1
2048,1,1793486,1793362,1
2048,1,1785021,1784912,1
2048,1,1767086,1766973,1
2048,1,1790685,1790643,1
2048,1,1878636,1878515,1
2048,1,2075397,2075278,1
2048,1,1797942,1797795,1
2048,1,1799968,1799841,1
8,2,194,194,3624
8,2,199,199,3624
8,2,197,197,3624
8,2,195,195,3624
8,2,198,198,3624
8,2,197,197,3624
8,2,201,201,3624
8,2,214,214,3624
8,2,196,196,3624
8,2,221,221,3624
8,2,298,298,3624
8,2,207,207,3624
8,2,204,204,3624
8,2,199,199,3624
8,2,202,201,3624
8,2,206,206,3624
8,2,199,199,3624
8,2,196,196,3624
8,2,210,210,3624
8,2,208,208,3624
16,2,438,438,1662
16,2,439,439,1662
16,2,436,436,1662
16,2,584,584,1662
16,2,465,465,1662
16,2,469,469,1662
16,2,458,458,1662
16,2,414,414,1662
16,2,424,424,1662
16,2,400,400,1662
16,2,395,395,1662
16,2,396,396,1662
16,2,389,389,1662
16,2,395,395,1662
16,2,405,405,1662
16,2,420,420,1662
16,2,412,412,1662
16,2,417,417,1662
16,2,423,423,1662
16,2,423,423,1662
32,2,1050,1050,679
32,2,1044,1044,679
32,2,985,985,679
32,2,1017,1017,679
32,2,964,963,679
32,2,988,988,679
32,2,974,974,679
32,2,985,985,679
32,2,975,975,679
32,2,966,966,679
32,2,1081,1081,679
32,2,994,994,679
32,2,954,954,679
32,2,959,959,679
32,2,986,985,679
32,2,973,972,679
32,2,964,963,679
32,2,1089,1089,679
32,2,971,971,679
32,2,956,956,679
64,2,2785,2785,252
64,2,2845,2844,252
64,2,2769,2769,252
64,2,2801,2800,252
64,2,2757,2757,252
64,2,2761,2761,252
64,2,2797,2796,252
64,2,2807,2806,252
64,2,2767,2767,252
64,2,2792,2792,252
64,2,2798,2798,252
64,2,2817,2817,252
64,2,2832,2831,252
64,2,2857,2857,252
64,2,2920,2920,252
64,2,2960,2960,252
64,2,2939,2939,252
64,2,2827,2827,252
64,2,2770,2770,252
64,2,2838,2838,252
128,2,9405,9404,74
128,2,10137,10137,74
128,2,10246,10246,74
128,2,10221,10221,74
128,2,10514,10514,74
128,2,10688,10688,74
128,2,10163,10162,74
128,2,10270,10268,74
128,2,10192,10191,74
128,2,10134,10133,74
128,2,10296,10296,74
128,2,10263,10261,74
128,2,10871,10870,74
128,2,11515,11515,74
128,2,10177,10176,74
128,2,10080,10080,74
128,2,10204,10203,74
128,2,10283,10283,74
128,2,10256,10256,74
128,2,10370,10370,74
256,2,38815,38813,19
256,2,38858,38857,19
256,2,38004,37998,19
256,2,37847,37846,19
256,2,38221,38215,19
256,2,38776,38776,19
256,2,37265,37264,19
256,2,38717,38711,19
256,2,37381,37379,19
256,2,37095,37090,19
256,2,37772,37771,19
256,2,36915,36914,19
256,2,37061,37055,19
256,2,37499,37498,19
256,2,37652,37651,19
256,2,37280,37278,19
256,2,37186,37185,19
256,2,37833,37832,19
256,2,45274,45272,19
256,2,38075,38070,19
512,2,144185,144174,5
512,2,143502,143499,5
512,2,148279,148260,5
512,2,143373,143361,5
512,2,145872,145851,5
512,2,147545,147542,5
512,2,148334,148330,5
512,2,148487,148466,5
512,2,148622,148616,5
512,2,144238,144234,5
512,2,142972,142952,5
512,2,151326,151322,5
512,2,147422,147417,5
512,2,147391,147372,5
512,2,144943,144940,5
512,2,146287,146267,5
512,2,144325,144321,5
512,2,147181,147174,5
512,2,145229,145206,5
512,2,144250,144246,5
1024,2,579081,579064,1
1024,2,569256,569241,1
1024,2,572350,572325,1
1024,2,573355,573340,1
1024,2,566480,566463,1
1024,2,593116,593023,1
1024,2,573292,573276,1
1024,2,600375,600307,1
1024,2,579343,579318,1
1024,2,577691,577597,1
1024,2,582012,581994,1
1024,2,590600,590582,1
1024,2,597608,597507,1
1024,2,653986,653945,1
1024,2,597145,597129,1
1024,2,681779,681760,1
1024,2,617716,617699,1
1024,2,740344,740323,1
1024,2,600364,600347,1
1024,2,589950,589854,1
1536,2,1489274,1489238,1
